node1	node2	score	network_id	edge_type
AT5G57360	AT2G18790	1	BIOGRID	PPI
AT5G57360	AT4G08920	1	BIOGRID	PPI
AT5G57360	AT2G18790	1	BIOGRID	PPI
AT5G57360	AT4G08920	1	BIOGRID	PPI
AT5G05000	AT4G02510	1	BIOGRID	PPI
AT5G05000	AT2G16640	1	BIOGRID	PPI
AT5G05000	AT3G16620	1	BIOGRID	PPI
AT5G49230	AT2G43010	1	BIOGRID	PPI
AT5G49230	AT1G65480	1	BIOGRID	PPI
AT5G49230	AT2G18790	1	BIOGRID	PPI
AT5G49230	AT1G04400	1	BIOGRID	PPI
AT5G15840	AT5G49230	1	BIOGRID	PPI
AT1G25540	AT5G49230	1	BIOGRID	PPI
AT3G27920	AT5G40330	1	BIOGRID	PPI
AT1G79840	AT5G40330	1	BIOGRID	PPI
AT5G53200	AT5G40330	1	BIOGRID	PPI
AT5G41315	AT5G40330	1	BIOGRID	PPI
AT5G24470	AT5G02810	1	BIOGRID	PPI
AT5G02810	AT5G24470	1	BIOGRID	PPI
AT2G40080	AT5G23150	1	BIOGRID	PPI
AT4G00650	AT5G23150	1	BIOGRID	PPI
AT2G43410	AT5G23150	1	BIOGRID	PPI
AT4G02560	AT5G23150	1	BIOGRID	PPI
AT5G57360	AT2G25930	1	BIOGRID	PPI
AT5G15840	AT2G25930	1	BIOGRID	PPI
AT2G25930	AT2G18790	1	BIOGRID	PPI
AT2G18790	AT2G25930	1	BIOGRID	PPI
AT2G25930	AT1G09570	1	BIOGRID	PPI
AT2G18790	AT2G25930	1	BIOGRID	PPI
AT2G25930	AT3G09150	1	BIOGRID	PPI
AT3G09150	AT2G25930	1	BIOGRID	PPI
AT4G10180	AT5G11260	1	BIOGRID	PPI
AT5G24470	AT2G46790	1	BIOGRID	PPI
AT2G46790	AT5G24470	1	BIOGRID	PPI
AT5G59560	AT2G18790	1	BIOGRID	PPI
AT2G47190	AT1G32640	1	BIOGRID	PPI
AT1G32640	AT5G40330	1	BIOGRID	PPI
AT3G27920	AT2G46410	1	BIOGRID	PPI
AT2G46410	AT5G53200	1	BIOGRID	PPI
AT5G14750	AT2G46410	1	BIOGRID	PPI
AT5G24520	AT3G27920	1	BIOGRID	PPI
AT1G09570	AT2G02950	1	BIOGRID	PPI
AT2G18790	AT2G02950	1	BIOGRID	PPI
AT5G61270	AT2G18790	1	BIOGRID	PPI
AT1G09530	AT5G61270	1	BIOGRID	PPI
AT5G61270	AT1G09530	1	BIOGRID	PPI
AT2G43010	AT5G61270	1	BIOGRID	PPI
AT2G43010	AT1G09530	1	BIOGRID	PPI
AT2G01570	AT1G09530	1	BIOGRID	PPI
AT2G01570	AT2G43010	1	BIOGRID	PPI
AT2G01570	AT2G43010	1	BIOGRID	PPI
AT2G18790	AT1G76500	1	BIOGRID	PPI
AT1G76500	AT1G20900	1	BIOGRID	PPI
AT1G20900	AT1G76500	1	BIOGRID	PPI
